state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_CA;enrollmetric;pp_stloc_raw_CA;pp_fed_raw_CA;pp_total_raw_CA;pp_site_stloc_raw_CA;pp_site_fed_raw_CA;pp_site_raw_CA;pp_centshare_stloc_raw_CA;pp_centshare_fed_raw_CA;pp_centshare_raw_CA;schoolstloc_raw_CA;schoolfed_raw_CA;schooltot_raw_CA;countenroll;noaudit;nositecen;adfinvars;distflex;charter_CA;distexclu_raw_CA;disttotwexclu_raw_CA;flag_NERDS
CA;2018-2019;19642120000000;19642121931880;ABC Unified;Whitney (Gretchen) High;0601620;060162000029;1009; 07-12;4;1009;CALPADS Fall 1 Submission enrollment;10458;643;11101;6992;0;6992;3466;643;4109;10552122;648787;11200909;1;0;0;0;1;N/A;30576001;275922014;0
CA;2018-2019;19642120000000;19642126010995;ABC Unified;Willow Elementary;0601620;060162000030;434; KG-06;2;434;CALPADS Fall 1 Submission enrollment;11223;1261;12484;6009;300;6309;5214;961;6175;4870782;547274;5418056;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126093447;ABC Unified;Wittmann (Helen) Elementary;0601620;060162000031;620; KG-06;2;620;CALPADS Fall 1 Submission enrollment;9534;919;10453;4838;0;4838;4696;919;5615;5911080;569780;6480860;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19769680109926;01099260109926;Academia Avance Charter;Academia Avance Charter;0602291;060229110895;391; 06-12;4;391;CALPADS Fall 1 Submission enrollment;13556;704;14260;NA;NA;NA;NA;NA;NA;5300396;275264;NA;1;0;0;0;1;Directly funded;383049;5958709;0
CA;2018-2019;19647330120097;01200970120097;Academia Moderna;Academia Moderna;0602361;060236112455;465; KG-05;2;463;CALPADS Fall 1 Submission enrollment;13275;780;14055;NA;NA;NA;NA;NA;NA;6146325;361140;NA;1;0;0;0;1;Directly funded;95447;6602912;0
CA;2018-2019;36750773631207;36312073631207;Academy for Academic Excellence;Academy for Academic Excellence;0601911;060191107296;1447; KG-12;4;1447;CALPADS Fall 1 Submission enrollment;987;6148;7135;NA;NA;NA;NA;NA;NA;1428189;8896156;NA;1;0;0;0;1;Directly funded;0;10324345;1
CA;2018-2019;07616300000000;07616300107524;Acalanes Union High;Acalanes Center for Independent Study;0601650;060165010751;27; 09-12;4;27;CALPADS Fall 1 Submission enrollment;22984;68;23052;18828;0;18828;4156;68;4224;620568;1836;622404;1;0;0;0;1;N/A;15438056;98551358;0
CA;2018-2019;07616300000000;07616300730283;Acalanes Union High;Acalanes High;0601650;060165000032;1335; 09-12;4;1335;CALPADS Fall 1 Submission enrollment;14779;610;15389;10623;542;11165;4156;68;4224;19729965;814350;20544315;1;0;0;0;1;N/A;15438056;98551358;0
CA;2018-2019;07616300000000;07616300731125;Acalanes Union High;Campolindo High;0601650;060165000033;1406; 09-12;4;1406;CALPADS Fall 1 Submission enrollment;14428;230;14658;10272;162;10434;4156;68;4224;20285768;323380;20609148;1;0;0;0;1;N/A;15438056;98551358;0
CA;2018-2019;07616300000000;07616300733725;Acalanes Union High;Las Lomas High;0601650;060165000035;1601; 09-12;4;1601;CALPADS Fall 1 Submission enrollment;13606;353;13959;9450;285;9735;4156;68;4224;21783206;565153;22348359;1;0;0;0;1;N/A;15438056;98551358;0
CA;2018-2019;07616300000000;07616300734244;Acalanes Union High;Miramonte High;0601650;060165000036;1286; 09-12;4;1286;CALPADS Fall 1 Submission enrollment;14311;455;14766;10155;387;10542;4156;68;4224;18403946;585130;18989076;1;0;0;0;1;N/A;15438056;98551358;0
CA;2018-2019;19647336112536;61125366112536;Accelerated;Accelerated;0601732;060173203245;787; KG-08;3;787;CALPADS Fall 1 Submission enrollment;11540;748;12288;NA;NA;NA;NA;NA;NA;9081980;588676;NA;1;0;0;0;1;Directly funded;0;9670656;0
CA;2018-2019;23656152330454;23304542330454;Accelerated Achievement Academy;Accelerated Achievement Academy;0601877;060187710552;146; 04-12;4;146;CALPADS Fall 1 Submission enrollment;10941;637;11578;NA;NA;NA;NA;NA;NA;1597386;93002;NA;1;0;0;0;1;Directly funded;0;1690388;0
CA;2018-2019;19647330100743;01007430100743;Accelerated Charter Elementary;Accelerated Charter Elementary;0601471;060147110830;501; KG-06;2;501;CALPADS Fall 1 Submission enrollment;10830;756;11586;NA;NA;NA;NA;NA;NA;5425830;378756;NA;1;0;0;0;1;Directly funded;0;5804586;0
CA;2018-2019;43694270125617;01256170125617;ACE Charter High;ACE Charter High;0601561;060156113023;363; 09-12;4;363;CALPADS Fall 1 Submission enrollment;12452;539;12991;NA;NA;NA;NA;NA;NA;4520076;195657;NA;1;0;0;0;1;Directly funded;0;4715733;0
CA;2018-2019;43104390116814;01168140116814;ACE Empower Academy;ACE Empower Academy;0602217;060221712198;301; 05-08;3;301;CALPADS Fall 1 Submission enrollment;13366;1037;14403;NA;NA;NA;NA;NA;NA;4023166;312137;NA;1;0;0;0;1;Directly funded;0;4335303;0
CA;2018-2019;43694500129247;01292470129247;ACE Esperanza Middle;ACE Esperanza Middle;0601852;060185213740;288; 05-08;3;288;CALPADS Fall 1 Submission enrollment;12643;1161;13804;NA;NA;NA;NA;NA;NA;3641184;334368;NA;1;0;0;0;1;Directly funded;0;3975552;0
CA;2018-2019;43696660131656;01316560131656;ACE Inspire Academy;ACE Inspire Academy;0602138;060213813852;257; 05-08;3;257;CALPADS Fall 1 Submission enrollment;11865;874;12739;NA;NA;NA;NA;NA;NA;3049305;224618;NA;1;0;0;0;1;Directly funded;0;3273923;0
CA;2018-2019;01612590111476;01114760111476;Achieve Academy;Achieve Academy;0602165;060216511561;638; KG-05;2;634;CALPADS Fall 1 Submission enrollment;12586;819;13405;NA;NA;NA;NA;NA;NA;7979524;519246;NA;1;0;0;0;1;Directly funded;5621;8504391;0
CA;2018-2019;04100410136820;01368200136820;Achieve Charter High;Achieve Charter High;0601615;060161514213;48; 09-12;4;48;CALPADS Fall 1 Submission enrollment;15117;0;15117;NA;NA;NA;NA;NA;NA;725616;0;NA;1;0;0;0;1;Directly funded;17137;742753;0
CA;2018-2019;04615310110338;01103380110338;Achieve Charter School of Paradise Inc.;Achieve Charter School of Paradise Inc.;0602133;060213311571;236; KG-08;3;236;CALPADS Fall 1 Submission enrollment;9256;120;9376;NA;NA;NA;NA;NA;NA;2184416;28320;NA;1;0;0;0;1;Directly funded;9678;2222414;0
CA;2018-2019;31667610000000;31667616031009;Ackerman Charter;Bowman Charter;0601680;060168000037;593; KG-08;3;593;CALPADS Fall 1 Submission enrollment;7121;212;7333;NA;NA;NA;NA;NA;NA;4222753;125716;NA;1;0;0;0;1;Locally funded;625397;4973866;0
CA;2018-2019;19753090000000;19753096107494;Acton-Agua Dulce Unified;High Desert;0600001;060000109444;362; 05-08;3;362;CALPADS Fall 1 Submission enrollment;13778;730;14508;5702;186;5888;8076;544;8620;4987636;264260;5251896;1;0;0;0;1;N/A;2030744;17931154;1
CA;2018-2019;19753090000000;19753096115679;Acton-Agua Dulce Unified;Meadowlark Elementary;0600001;060000107534;344; KG-04;2;343;CALPADS Fall 1 Submission enrollment;13498;753;14251;5419;209;5628;8079;544;8623;4629814;258279;4888093;1;0;0;0;1;N/A;2030744;17931154;1
CA;2018-2019;19753090000000;19753091995786;Acton-Agua Dulce Unified;Vasquez High;0600001;060000103278;379; 09-12;4;379;CALPADS Fall 1 Submission enrollment;14648;551;15199;6571;7;6578;8077;544;8621;5551592;208829;5760421;1;0;0;0;1;N/A;2030744;17931154;1
CA;2018-2019;42767866118202;61182026118202;Adelante Charter;Adelante Charter;0602343;060234308628;290; KG-06;2;290;CALPADS Fall 1 Submission enrollment;9813;587;10400;NA;NA;NA;NA;NA;NA;2845770;170230;NA;1;0;0;0;1;Directly funded;1974;3017974;0
CA;2018-2019;36675870000000;36675876035174;Adelanto Elementary;Adelanto Elementary;0601710;060171000038;322; KG-05;2;322;CALPADS Fall 1 Submission enrollment;12361;1539;13900;9962;470;10432;2399;1069;3468;3980242;495558;4475800;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870138529;Adelanto Elementary;Adelanto Virtual Academy;0601710;060171014369;29; KG-08;3;29;CALPADS Fall 1 Submission enrollment;7347;10169;17516;4948;9100;14048;2399;1069;3468;213063;294901;507964;1;0;0;0;1;N/A;385;100995794;1
CA;2018-2019;36675870000000;36675870107433;Adelanto Elementary;Columbia Middle;0601710;060171011090;737; 06-08;3;737;CALPADS Fall 1 Submission enrollment;11729;1864;13593;9330;795;10125;2399;1069;3468;8644273;1373768;10018041;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675876115117;Adelanto Elementary;Donald F. Bradach Elementary;0601710;060171007613;470; KG-05;2;470;CALPADS Fall 1 Submission enrollment;10665;1591;12256;8266;522;8788;2399;1069;3468;5012550;747770;5760320;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675876109409;Adelanto Elementary;Eagle Ranch Elementary;0601710;060171009690;628; KG-05;2;628;CALPADS Fall 1 Submission enrollment;10846;1430;12276;8447;361;8808;2399;1069;3468;6811288;898040;7709328;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870125880;Adelanto Elementary;El Mirage;0601710;060171013193;140; KG-08;3;140;CALPADS Fall 1 Submission enrollment;12329;1485;13814;9930;416;10346;2399;1069;3468;1726060;207900;1933960;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870107425;Adelanto Elementary;George Visual and Performing Arts Magnet and Middle;0601710;060171011089;728; KG-08;3;728;CALPADS Fall 1 Submission enrollment;9996;1258;11254;7597;189;7786;2399;1069;3468;7277088;915824;8192912;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870125898;Adelanto Elementary;Gus Franklin Jr. School;0601710;060171013092;569; KG-05;2;569;CALPADS Fall 1 Submission enrollment;10867;1520;12387;8468;451;8919;2399;1069;3468;6183323;864880;7048203;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870131441;Adelanto Elementary;Melva Davis Academy of Excellence;0601710;060171013994;871; 06-08;3;871;CALPADS Fall 1 Submission enrollment;11644;1333;12977;9245;264;9509;2399;1069;3468;10141924;1161043;11302967;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675876116370;Adelanto Elementary;Mesa Linda Middle;0601710;060171008288;848; 06-08;3;848;CALPADS Fall 1 Submission enrollment;10416;1798;12214;8017;729;8746;2399;1069;3468;8832768;1524704;10357472;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675876120604;Adelanto Elementary;Morgan Kincaid Preparatory;0601710;060171010603;803; KG-05;2;803;CALPADS Fall 1 Submission enrollment;9664;1413;11077;7265;344;7609;2399;1069;3468;7760192;1134639;8894831;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870107441;Adelanto Elementary;Theodore Vick Elementary;0601710;060171011091;534; KG-05;2;534;CALPADS Fall 1 Submission enrollment;10482;1484;11966;8083;415;8498;2399;1069;3468;5597388;792456;6389844;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870109470;Adelanto Elementary;Victoria Magathan Elementary;0601710;060171011092;517; KG-05;2;517;CALPADS Fall 1 Submission enrollment;10486;1293;11779;8087;224;8311;2399;1069;3468;5421262;668481;6089743;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675870112086;Adelanto Elementary;West Creek Elementary;0601710;060171011736;466; KG-05;2;466;CALPADS Fall 1 Submission enrollment;10583;1589;12172;8184;520;8704;2399;1069;3468;4931678;740474;5672152;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;36675870000000;36675876106694;Adelanto Elementary;Westside Park Elementary;0601710;060171009110;571; KG-05;2;571;CALPADS Fall 1 Submission enrollment;10210;1422;11632;7811;353;8164;2399;1069;3468;5829910;811962;6641872;1;0;0;0;1;N/A;385;100995794;0
CA;2018-2019;51105120138040;01380400138040;AeroSTEM Academy;AeroSTEM Academy;0601724;060172414234;62; 06-12;4;62;CALPADS Fall 1 Submission enrollment;13526;4200;17726;NA;NA;NA;NA;NA;NA;838612;260400;NA;1;0;0;0;1;Directly funded;0;1099012;0
CA;2018-2019;19647330118588;01185880118588;Alain Leroy Locke College Preparatory Academy;Alain Leroy Locke College Preparatory Academy;0602092;060209212248;1393; 09-12;4;1393;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;Directly funded;0;0;1
CA;2018-2019;01611190130609;01306090130609;Alameda Community Learning Center;Alameda Community Learning Center;0601664;060166408673;351; 06-12;4;351;CALPADS Fall 1 Submission enrollment;10080;152;10232;NA;NA;NA;NA;NA;NA;3538080;53352;NA;1;0;0;0;1;Directly funded;16773;3608205;0
CA;2018-2019;01100170000000;01100170130419;Alameda County Office of Education;Alameda County Community;0691051;069105106830;133; KG-12;4;133;CALPADS Fall 1 Submission enrollment;35739;4374;40113;23993;1095;25088;11746;3279;15025;4753287;581742;5335029;1;0;0;0;1;N/A;26215668;36744909;0
CA;2018-2019;01100170000000;01100170130401;Alameda County Office of Education;Alameda County Juvenile Hall/Court;0691051;069105109264;46; KG-12;4;53;CALPADS Fall 1 Submission enrollment;52798;9919;62717;41052;6640;47692;11746;3279;15025;2798294;525707;3324001;1;0;0;0;1;N/A;26215668;36744909;0
CA;2018-2019;01100170000000;01100176106751;Alameda County Office of Education;Alameda County Special Education;0691051;069105108672;NA;NA;0;NA;CALPADS Fall 1 Submission enrollment;17003;2270;19273;17003;2270;19273;0;0;0;NA;NA;NA;1;0;0;0;1;N/A;26215668;36744909;0
CA;2018-2019;01100170000000;01100170136226;Alameda County Office of Education;Opportunity Academy;0691051;069105114090;71; 10-12;4;71;CALPADS Fall 1 Submission enrollment;23062;3279;26341;NA;NA;NA;NA;NA;NA;1637402;232809;NA;1;0;0;0;1;Locally funded;26215668;36744909;0
CA;2018-2019;01611190000000;01611190130229;Alameda Unified;Alameda High;0601770;060177000041;1767; 09-12;4;1767;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611190106401;Alameda Unified;Alameda Science and Technology Institute;0601770;060177010547;192; 09-12;4;192;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196100374;Alameda Unified;Amelia Earhart Elementary;0601770;060177000043;651; KG-05;2;651;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196110779;Alameda Unified;Bay Farm;0601770;060177000006;610; KG-08;3;610;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196090013;Alameda Unified;Edison Elementary;0601770;060177000044;469; KG-05;2;469;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611190132142;Alameda Unified;Encinal Junior/Senior High;0601770;060177000045;1261; 06-12;4;1261;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196090021;Alameda Unified;Frank Otis Elementary;0601770;060177000054;640; KG-05;2;640;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196090039;Alameda Unified;Franklin Elementary;0601770;060177004337;335; KG-05;2;335;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611190134304;Alameda Unified;Island High (Continuation);0601770;060177000048;96; 09-12;4;96;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196090054;Alameda Unified;Lincoln Middle;0601770;060177000049;872; 06-08;3;872;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196090047;Alameda Unified;Love Elementary;0601770;060177000047;544; KG-05;2;544;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611190139220;Alameda Unified;Maya Lin;0601770;060177013107;NA; KG-05;2;NA;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611190126656;Alameda Unified;Maya Lin;0601770;060177014446;NA; NA;NA;427;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611190111765;Alameda Unified;Ruby Bridges Elementary;0601770;060177011549;484; KG-05;2;484;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196090112;Alameda Unified;Will C. Wood Middle;0601770;060177000057;575; 06-08;3;575;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611190000000;01611196090120;Alameda Unified;William G. Paden Elementary;0601770;060177000003;397; KG-05;2;397;CALPADS Fall 1 Submission enrollment;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;N/A;0;0;1
CA;2018-2019;01611270000000;01611270130450;Albany City Unified;Albany High;0601860;060186000059;1168; 09-12;4;1168;CALPADS Fall 1 Submission enrollment;12188;304;12492;8636;167;8803;3552;137;3689;14235584;355072;14590656;1;0;0;0;1;N/A;0;45418896;0
CA;2018-2019;01611270000000;01611276090161;Albany City Unified;Albany Middle;0601860;060186000060;862; 06-08;3;862;CALPADS Fall 1 Submission enrollment;12170;319;12489;8618;182;8800;3552;137;3689;10490540;274978;10765518;1;0;0;0;1;N/A;0;45418896;0
CA;2018-2019;01611270000000;01611276090146;Albany City Unified;Cornell Elementary;0601860;060186000061;561; KG-05;2;561;CALPADS Fall 1 Submission enrollment;12033;247;12280;8481;110;8591;3552;137;3689;6750513;138567;6889080;1;0;0;0;1;N/A;0;45418896;0
CA;2018-2019;01611270000000;01611270130294;Albany City Unified;MacGregor High (Continuation);0601860;060186007638;8; 10-12;4;8;CALPADS Fall 1 Submission enrollment;31459;137;31596;27907;0;27907;3552;137;3689;251672;1096;252768;1;0;0;0;1;N/A;0;45418896;0
CA;2018-2019;01611270000000;01611276095376;Albany City Unified;Marin Elementary;0601860;060186000062;504; KG-05;2;504;CALPADS Fall 1 Submission enrollment;11261;203;11464;7709;66;7775;3552;137;3689;5675544;102312;5777856;1;0;0;0;1;N/A;0;45418896;0
