;1969-70;1979-80;1989-90;1999-2000;2009-10;2018-19;2019-20;1969-70;1979-80;1989-90;1999-2000;2009-10;2018-19;2019-20;"Percent change, 1999-2000 to
 2019-20"
Illinois ;9 569;17 601;32 794;46 486;62 077;67 049;68 305;65 160;58 319;66 435;70 633;73 676;68 098;68 305;-3,3
Indiana ;8 833;15 599;30 902;41 850;49 986;51 119;51 508;60 149;51 686;62 602;63 589;59 325;51 919;51 508;-19,0
Iowa ;8 355;15 203;26 747;35 678;49 626;57 489;58 917;56 894;50 374;54 185;54 211;58 898;58 388;58 917;8,7
Kansas ;7 612;13 690;28 744;34 981;46 657;51 082;52 554;51 834;45 361;58 231;53 152;55 374;51 881;52 554;-1,1
Kentucky ;6 953;14 520;26 292;36 380;49 543;53 434;53 907;47 347;48 111;53 263;55 277;58 800;54 270;53 907;-2,5
Louisiana ;7 028;13 760;24 300;33 109;48 903;50 288;50 217;47 857;45 593;49 228;50 307;58 040;51 075;50 217;-0,2
Maine ;7 572;13 071;26 881;35 561;46 106;54 025;54 967;51 562;43 310;54 456;54 033;54 720;54 870;54 967;1,7
Maryland ;9 383;17 558;36 319;44 048;63 971;70 463;73 444;63 894;58 177;73 576;66 929;75 923;71 565;73 444;9,7
Massachusetts ;8 764;17 253;34 712;46 580;69 273;82 042;83 622;59 679;57 166;70 321;70 776;82 216;83 325;83 622;18,2
Michigan ;9 826;19 663;37 072;49 044;57 958;62 170;62 185;66 910;65 152;75 102;74 520;68 787;63 143;62 185;-16,6
Minnesota ;8 658;15 912;32 190;39 802;52 431;58 221;58 663;58 957;52 723;65 212;60 477;62 227;59 132;58 663;-3,0
Mississippi ;5 798;11 850;24 292;31 857;45 644;45 105;45 192;39 482;39 264;49 212;48 405;54 172;45 811;45 192;-6,6
Missouri ;7 799;13 682;27 094;35 656;45 317;50 019;50 817;53 108;45 334;54 888;54 177;53 784;50 801;50 817;-6,2
Montana ;7 606;14 537;25 081;32 121;45 759;50 721;52 135;51 793;48 167;50 810;48 806;54 309;51 514;52 135;6,8
Nebraska ;7 375;13 516;25 522;33 237;46 227;54 470;55 267;50 220;44 784;51 703;50 502;54 864;55 322;55 267;9,4
Nevada ;9 215;16 295;30 590;39 390;51 524;55 950;56 672;62 750;53 992;61 970;59 851;61 151;56 825;56 672;-5,3
New Hampshire ;7 771;13 017;28 986;37 734;51 443;59 182;60 003;52 917;43 131;58 721;57 335;61 055;60 108;60 003;4,7
New Jersey ;9 130;17 161;35 676;52 015;65 130;74 760;76 376;62 171;56 861;72 274;79 034;77 299;75 930;76 376;-3,4
New Mexico ;7 796;14 887;24 756;32 554;46 258;47 826;54 256;53 087;49 327;50 151;49 464;54 901;48 574;54 256;9,7
New York ;10 336;19 812;38 925;51 020;71 633;85 889;87 543;70 383;65 645;78 856;77 522;85 017;87 233;87 543;12,9
North Carolina ;7 494;14 117;27 883;39 404;46 850;53 940;54 682;51 031;46 775;56 486;59 872;55 604;54 784;54 682;-8,7
North Dakota ;6 696;13 263;23 016;29 863;42 964;53 434;52 328;45 597;43 946;46 627;45 375;50 991;54 270;52 328;15,3
Ohio ;8 300;15 269;31 218;41 436;55 958;59 713;59 713;56 519;50 592;63 242;62 960;66 413;60 647;59 713;-5,2
Oklahoma ;6 882;13 107;23 070;31 298;47 691;52 397;54 038;46 863;43 429;46 736;47 556;56 602;53 217;54 038;13,6
Oregon ;8 818;16 266;30 840;42 336;55 224;65 125;67 685;60 046;53 896;62 477;64 327;65 542;66 144;67 685;5,2
Pennsylvania ;8 858;16 515;33 338;48 321;59 156;68 930;70 258;60 319;54 721;67 537;73 421;70 209;70 008;70 258;-4,3
Rhode Island ;8 776;18 002;36 057;47 041;59 686;67 040;67 323;59 760;59 648;73 045;71 476;70 838;68 089;67 323;-5,8
South Carolina ;6 927;13 063;27 217;36 081;47 508;50 882;51 485;47 170;43 283;55 137;54 823;56 384;51 678;51 485;-6,1
South Dakota ;6 403;12 348;21 300;29 071;38 837;48 204;49 220;43 601;40 914;43 150;44 172;46 093;48 958;49 220;11,4
Tennessee ;7 050;13 972;27 052;36 328;46 290;51 349;51 862;48 007;46 295;54 803;55 198;54 939;52 152;51 862;-6,0
Texas ;7 255;14 132;27 496;37 567;48 261;54 121;57 091;49 403;46 825;55 702;57 081;57 278;54 968;57 091;0,0
Utah ;7 644;14 909;23 686;34 946;45 885;51 858;52 819;52 052;49 400;47 984;53 099;54 458;52 669;52 819;-0,5
Vermont ;7 968;12 484;29 012;37 758;49 084;60 672;61 108;54 258;41 365;58 773;57 371;58 255;61 621;61 108;6,5
Virginia ;8 070;14 060;30 938;38 744;50 015;53 267;53 933;54 953;46 587;62 675;58 869;59 360;54 100;53 933;-8,4
Washington ;9 225;18 820;30 457;41 043;53 003;73 049;72 965;62 818;62 358;61 701;62 363;62 906;74 192;72 965;17,0
West Virginia ;7 650;13 710;22 842;35 009;45 959;47 681;50 238;52 093;45 427;46 274;53 194;54 546;48 427;50 238;-5,6
Wisconsin ;8 963;16 006;31 921;41 153;51 264;58 277;59 176;61 034;53 034;64 667;62 530;60 842;59 189;59 176;-5,4
Wyoming ;8 232;16 012;28 141;34 127;55 861;58 861;59 014;56 056;53 054;57 009;51 854;66 298;59 782;59 014;13,8
